,postal_code,name,lat,lon
0,01400,L'Abergement-Clémenciat,46.1517,4.9306
1,01640,L'Abergement-de-Varey,46.0071,5.4247
2,01500,Ambérieu-en-Bugey,45.9575,5.3706
3,01330,Ambérieux-en-Dombes,45.9992,4.9119
4,01300,Ambléon,45.7483,5.5928
5,01500,Ambronay,46.0099,5.3627
6,01500,Ambutrix,45.9347,5.3359
7,01300,Andert-et-Condon,45.7841,5.6607
8,01350,Anglefort,45.9086,5.7948
9,01100,Apremont,46.2045,5.6619
10,01110,Aranc,45.9972,5.514
11,01230,Arandas,45.8885,5.4982
12,01100,Arbent,46.2838,5.6879
13,01300,Arboys en Bugey,45.7189,5.6404
14,01190,Arbigny,46.4808,4.9613
15,01230,Argis,45.9322,5.4819
16,01510,Armix,45.8523,5.5837
17,01480,Ars-sur-Formans,45.9904,4.8195
18,01510,Artemare,45.8701,5.692
19,01570,Asnières-sur-Saône,46.3859,4.882
20,01340,Attignat,46.2858,5.1823
21,01380,Bâgé-Dommartin,46.3277,4.9704
22,01380,Bâgé-le-Châtel,46.3081,4.9305
23,01360,Balan,45.8268,5.1076
24,01990,Baneins,46.1117,4.9045
25,01270,Beaupont,46.4274,5.2634
26,01480,Beauregard,46.0012,4.7567
27,01100,Bellignat,46.2402,5.6371
28,01360,Béligneux,45.8622,5.1415
29,01200,Valserhône,46.1234,5.7944
30,01300,Belley,45.743,5.6927
31,01130,Belleydoux,46.2519,5.7816
32,01260,Valromey-sur-Séran,45.9236,5.6626
33,01470,Bénonces,45.842,5.4834
34,01370,Bény,46.3189,5.2789
35,01350,Béon,45.8578,5.7495
36,01340,Béréziat,46.3699,5.0431
37,01500,Bettant,45.9366,5.3648
38,01290,Bey,46.2182,4.844
39,01700,Beynost,45.8359,4.9964
40,01200,Billiat,46.0778,5.7632
41,01330,Birieux,45.9509,5.0401
42,01290,Biziat,46.224,4.9393
43,01150,Blyes,45.8442,5.2515
44,01120,La Boisse,45.8483,5.0262
45,01190,Boissey,46.3723,4.9975
46,01380,Boissey,46.3723,4.9975
47,01450,Bolozon,46.1971,5.4701
48,01330,Bouligneux,46.0202,4.9957
49,01000,Bourg-en-Bresse,46.2027,5.2469
50,01800,Bourg-Saint-Christophe,45.8842,5.1393
51,01640,Boyeux-Saint-Jérôme,46.0356,5.4616
52,01190,Boz,46.4089,4.9166
53,01300,Brégnier-Cordon,45.6406,5.6174
54,01110,Brénod,46.0791,5.6116
55,01300,Brens,45.7163,5.69
56,01360,Bressolles,45.8714,5.0984
57,01460,Brion,46.1689,5.5477
58,01470,Briord,45.768,5.4832
59,01310,Buellas,46.2116,5.1468
60,01510,La Burbanche,45.8629,5.548
61,01430,Ceignes,46.1258,5.4957
62,01450,Cerdon,46.075,5.4755
63,01240,Certines,46.1336,5.2638
64,01170,Cessy,46.3156,6.082
65,01250,Ceyzériat,46.1822,5.3191
66,01350,Ceyzérieu,45.8368,5.7197
67,01320,Chalamont,46.0149,5.1735
68,01480,Chaleins,46.0361,4.7999
69,01230,Chaley,45.9511,5.5408
70,01450,Challes-la-Montagne,46.1237,5.456
71,01630,Challex,46.1765,5.9735
72,01260,Champagne-en-Valromey,45.9317,5.6921
73,01110,Champdor-Corcelles,46.0371,5.5882
74,01410,Champfromier,46.2264,5.8216
75,01420,Chanay,46.0024,5.7674
76,01990,Chaneins,46.0947,4.8517
77,01400,Chanoz-Châtenay,46.1868,5.0302
78,01240,La Chapelle-du-Châtelard,46.0683,5.0174
79,01130,Charix,46.1893,5.6773
80,01800,Charnoz-sur-Ain,45.8756,5.2251
81,01500,Château-Gaillard,45.9723,5.3091
82,01320,Châtenay,46.0276,5.2085
83,01320,Châtillon-la-Palud,45.9757,5.246
84,01400,Châtillon-sur-Chalaronne,46.1264,4.9549
85,01190,Chavannes-sur-Reyssouze,46.4403,5.0069
86,01250,Nivigne et Suran,46.2824,5.4323
87,01660,Chaveyriat,46.1991,5.0534
88,01300,Chazey-Bons,45.8007,5.6678
89,01510,Chazey-Bons,45.8007,5.6678
90,01150,Chazey-sur-Ain,45.8937,5.2604
91,01510,Cheignieu-la-Balme,45.8233,5.6022
92,01430,Chevillard,46.1087,5.5815
93,01190,Chevroux,46.3822,4.9598
94,01170,Chevry,46.2842,6.0474
95,01200,Chézery-Forens,46.2244,5.8693
96,01410,Chézery-Forens,46.2244,5.8693
97,01390,Civrieux,45.9208,4.8895
98,01250,Cize,46.2015,5.45
99,01230,Cleyzieu,45.9027,5.4317
100,01270,Coligny,46.3889,5.3352
101,01550,Collonges,46.1397,5.9007
102,01300,Colomieu,45.7338,5.6269
103,01230,Conand,45.8836,5.4787
104,01430,Condamine,46.1056,5.5596
105,01400,Condeissiat,46.1541,5.0863
106,01200,Confort,46.1536,5.8358
107,01310,Confrançon,46.2732,5.06
108,01300,Contrevoz,45.7971,5.6164
109,01300,Conzieu,45.7246,5.602
110,01420,Corbonod,45.9668,5.7902
111,01110,Corlier,46.0369,5.5003
112,01290,Cormoranche-sur-Saône,46.2459,4.8305
113,01560,Cormoz,46.4375,5.2209
114,01250,Corveissiat,46.2514,5.4771
115,01370,Courmangoux,46.3243,5.3585
116,01560,Courtes,46.4564,5.1128
117,01320,Crans,45.9667,5.1917
118,01340,Bresse Vallons,46.3271,5.1822
119,01350,Cressin-Rochefort,45.7833,5.765
120,01290,Crottet,46.2848,4.876
121,01750,Crottet,46.2848,4.876
122,01170,Crozet,46.2906,5.9929
123,01290,Cruzilles-lès-Mépillat,46.2233,4.876
124,01350,Culoz,45.8553,5.7862
125,01560,Curciat-Dongalon,46.4883,5.1666
126,01310,Curtafond,46.2742,5.1051
127,01300,Cuzieu,45.8216,5.6802
128,01120,Dagneux,45.854,5.0748
129,01220,Divonne-les-Bains,46.3754,6.1114
130,01240,Dompierre-sur-Veyle,46.0672,5.2167
131,01400,Dompierre-sur-Chalaronne,46.142,4.9004
132,01270,Domsure,46.4211,5.2945
133,01590,Dortan,46.3184,5.6443
134,01500,Douvres,45.9847,5.3724
135,01250,Drom,46.2202,5.3674
136,01160,Druillat,46.0691,5.2947
137,01130,Échallon,46.2293,5.7346
138,01170,Échenevex,46.3197,6.018
139,01230,Évosges,45.963,5.5008
140,01800,Faramans,45.9086,5.126
141,01480,Fareins,46.0235,4.7682
142,01550,Farges,46.1657,5.9054
143,01570,Feillens,46.3393,4.8866
144,01210,Ferney-Voltaire,46.252,6.1061
145,01350,Flaxieu,45.8125,5.7466
146,01340,Foissiat,46.3792,5.1851
147,01090,Francheleins,46.0707,4.8111
148,01480,Frans,45.9905,4.7819
149,01140,Garnerans,46.2124,4.8289
150,01090,Genouilleux,46.1211,4.7926
